                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1194,                 4.4495,                 3.4445,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070012,               0.003332,               0.003332
                      2,                 2.1399,                 3.5512,                 2.4205,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.03999,              0.0066433,              0.0066433
                      3,                 1.7188,                 3.1567,                 1.9463,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0099459,              0.0099327,              0.0099327
